,deleted_responses,condition,article,consent,consent2,have_facebook_q,believe_climate_change_q,believer_doubter,post_trustworthy,post_accurate,like_post,share_post,recognize_source,burning_oil_co2,nuclear_power_co2,co2_methane,global_co2_increase,climate_change_human_activities,last_century_global_increase,today_concentration_already_occured,scientists_expect_warming_increase_melting,scientists_expect_increase_extreme_events,scientists_expect_increase_water_evap,scientists_expect_climate_change_evenly,feelings_toward_fb,gender,gender_text,age,education,politics,politics_text,conservative,post_type,post_trust
12,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.4,10.0,3.2,11.0,Yes,Correct,Do not know,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Do not know,-3.5,Male,,28.0,Some college but no degree,Independent,,Very liberal,Real,9.7
14,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,10.0,10.0,5.0,8.0,Yes,Incorrect,Do not know,Do not know,Do not know,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,0.2,Female,,70.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Moderate,Real,10.0
15,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.7,9.8,4.4,8.6,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,1.7,Female,,57.0,Bachelor's degree in college (4-year),Democrat,,Somewhat liberal,Real,9.75
17,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,10.9,Yes,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,-1.9,Male,,36.0,Some college but no degree,Democrat,,Very liberal,Real,10.0
19,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.6,9.3,4.2,10.7,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,1.7,Male,,40.0,Bachelor's degree in college (4-year),Independent,,Somewhat conservative,Real,9.45
20,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,11.0,Yes,Correct,Correct,Incorrect,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Incorrect,-3.0,Male,,28.0,Bachelor's degree in college (4-year),Independent,,Somewhat liberal,Real,10.0
21,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.9,9.9,5.0,11.0,Yes,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,5.0,Male,,67.0,Some college but no degree,Independent,,Moderate,Real,9.9
22,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.5,9.3,4.3,10.5,Yes,Correct,Do not know,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,1.5,Male,,67.0,Associate degree in college (2-year),Independent,,Moderate,Real,9.4
23,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,4.6,11.0,Yes,Correct,Incorrect,Correct,Correct,Correct,Do not know,Do not know,Correct,Correct,Do not know,Incorrect,-4.9,Male,,31.0,Some college but no degree,Independent,,Moderate,Real,10.0
24,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,5.0,11.0,Yes,Correct,Incorrect,Correct,Correct,Do not know,Correct,Do not know,Correct,Correct,Incorrect,Correct,-1.9,Male,,83.0,Associate degree in college (2-year),Democrat,,Moderate,Real,1.0
26,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.2,8.8,4.2,10.1,Yes,Correct,Do not know,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,2.3,Male,,71.0,Graduate or professional degree,Democrat,,Somewhat liberal,Real,9.0
27,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.8,9.8,5.0,11.0,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,-3.8,Male,,67.0,Bachelor's degree in college (4-year),Independent,,Moderate,Real,9.8
28,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,7.6,8.7,5.0,11.0,Yes,Correct,Correct,Do not know,Correct,Do not know,Correct,Do not know,Correct,Correct,Correct,Do not know,2.6,Female,,55.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Real,8.149999999999999
29,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,11.0,Yes,Do not know,Correct,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,4.0,Male,,33.0,Some college but no degree,Democrat,,Very liberal,Real,10.0
31,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.2,8.1,5.0,9.3,Yes,Correct,Correct,Incorrect,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Incorrect,1.0,Male,,30.0,Associate degree in college (2-year),Independent,,Moderate,Real,8.149999999999999
32,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.0,8.5,4.2,8.4,Yes,Correct,Correct,Do not know,Do not know,Correct,Do not know,Do not know,Correct,Correct,Correct,Incorrect,-0.7,Female,,45.0,Some college but no degree,Independent,,Moderate,Real,8.75
33,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.4,8.3,1.2,7.1,Yes,Correct,Do not know,Correct,Do not know,Do not know,Correct,Do not know,Correct,Correct,Correct,Correct,2.0,Male,,28.0,Graduate or professional degree,Independent,,Moderate,Real,8.350000000000001
36,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.1,8.1,3.1,7.0,Yes,Correct,Do not know,Do not know,Correct,Do not know,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,3.1,Male,,71.0,Some college but no degree,Democrat,,Somewhat liberal,Real,8.1
37,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.1,10.0,2.0,7.1,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,-2.0,Male,,59.0,Graduate or professional degree,Democrat,,Somewhat liberal,Real,9.55
38,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.9,10.0,4.2,7.1,Yes,Correct,Correct,Incorrect,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,-5.0,Male,,25.0,Bachelor's degree in college (4-year),Democrat,,Somewhat liberal,Real,9.95
39,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.1,9.1,0.9,7.2,Yes,Correct,Do not know,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,1.2,Male,,44.0,Bachelor's degree in college (4-year),Democrat,,Somewhat liberal,Real,8.6
40,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.7,6.6,0.1,7.3,Yes,Correct,Incorrect,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,0.3,Male,,67.0,Graduate or professional degree,Democrat,,Somewhat liberal,Real,6.65
41,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,9.2,9.3,0.0,7.3,Yes,Correct,Do not know,Correct,Do not know,Incorrect,Do not know,Do not know,Correct,Do not know,Incorrect,Incorrect,4.2,Female,,45.0,Associate degree in college (2-year),Independent,,Somewhat liberal,Real,9.25
42,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.4,9.3,0.0,7.5,Yes,Do not know,Do not know,Do not know,Do not know,Correct,Correct,Do not know,Do not know,Do not know,Do not know,Do not know,0.5,Male,,46.0,Some college but no degree,Democrat,,Somewhat liberal,Real,9.350000000000001
43,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.5,8.5,1.7,7.7,Yes,Correct,Incorrect,Correct,Correct,Do not know,Correct,Do not know,Correct,Correct,Correct,Incorrect,0.2,Male,,47.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Somewhat liberal,Real,9.0
44,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,9.3,10.0,0.2,7.7,Yes,Do not know,Do not know,Do not know,Correct,Incorrect,Correct,Correct,Correct,Correct,Do not know,Do not know,0.1,Female,,21.0,Some college but no degree,No party/not interested in politics,,Not sure/not interested in politics,Real,9.65
45,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.7,5.3,0.0,7.8,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,-1.6,Male,,32.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Not sure/not interested in politics,Real,6.0
47,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,4.5,5.3,2.5,7.9,Yes,Correct,Correct,Correct,Do not know,Correct,Correct,Do not know,Correct,Correct,Correct,Incorrect,-2.6,Female,,40.0,Associate degree in college (2-year),Democrat,,Somewhat liberal,Real,4.9
48,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.1,7.2,0.0,8.0,Yes,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,Correct,Correct,Incorrect,Do not know,0.0,Female,,39.0,Associate degree in college (2-year),Democrat,,Moderate,Real,7.15
50,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,7.8,8.4,3.4,8.1,Yes,Correct,Incorrect,Do not know,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,Do not know,-1.1,Male,,60.0,Bachelor's degree in college (4-year),Independent,,Moderate,Real,8.1
51,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.1,8.1,0.0,8.1,Yes,Correct,Incorrect,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,-1.0,Male,,67.0,Some college but no degree,Democrat,,Somewhat liberal,Real,8.1
52,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,2.4,8.1,Yes,Correct,Incorrect,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,-0.9,Male,,30.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Not sure/not interested in politics,Real,10.0
53,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.1,7.8,0.8,8.2,Yes,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,0.0,Male,,38.0,Some college but no degree,Independent,,Moderate,Real,7.949999999999999
55,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,8.3,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,4.3,Male,,51.0,Some college but no degree,Democrat,,Moderate,Real,10.0
56,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.7,8.2,3.7,8.3,Yes,Correct,Incorrect,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,1.6,Male,,28.0,Associate degree in college (2-year),Democrat,,Somewhat liberal,Real,7.449999999999999
57,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.3,9.7,4.1,8.3,Yes,Correct,Do not know,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,2.2,Male,,86.0,High school graduate (high school diploma or equivalent including GED),Independent,,Somewhat liberal,Real,9.5
58,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.9,4.5,5.0,8.6,Yes,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Correct,-2.5,Female,,45.0,Some college but no degree,Independent,,Moderate,Real,5.2
59,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.5,8.0,0.0,8.6,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,1.4,Male,,28.0,Some college but no degree,Democrat,,Very liberal,Real,8.25
60,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.6,6.5,0.2,8.7,Yes,Correct,Incorrect,Incorrect,Do not know,Correct,Correct,Do not know,Correct,Correct,Correct,Correct,1.6,Male,,59.0,High school graduate (high school diploma or equivalent including GED),Republican,,Moderate,Real,6.55
61,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.3,6.5,1.7,8.7,Yes,Correct,Correct,Do not know,Correct,Do not know,Correct,Do not know,Correct,Correct,Correct,Incorrect,2.2,Female,,53.0,Some college but no degree,Republican,,Somewhat conservative,Real,5.9
62,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,7.3,8.4,4.5,8.8,Yes,Correct,Correct,Correct,Do not know,Correct,Correct,Do not know,Correct,Correct,Do not know,Do not know,-1.6,Female,,58.0,Associate degree in college (2-year),Republican,,Somewhat conservative,Real,7.85
64,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,7.3,8.3,4.6,9.0,Yes,Do not know,Correct,Do not know,Do not know,Correct,Do not know,Do not know,Correct,Correct,Do not know,Do not know,1.3,Female,,48.0,Bachelor's degree in college (4-year),Democrat,,Moderate,Real,7.800000000000001
66,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,8.6,8.8,4.0,9.1,Yes,Correct,Do not know,Correct,Correct,Do not know,Correct,Do not know,Correct,Correct,Do not know,Correct,2.2,Female,,75.0,Some college but no degree,Republican,,Moderate,Real,8.7
68,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.1,7.2,3.6,9.2,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.5,Female,,35.0,Bachelor's degree in college (4-year),Democrat,,Moderate,Real,6.65
69,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,7.6,1.9,9.2,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.4,Female,,23.0,Some college but no degree,Independent,,Somewhat liberal,Real,8.8
70,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.6,5.8,3.7,9.2,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,-1.7,Female,,29.0,Associate degree in college (2-year),No party/not interested in politics,,Somewhat liberal,Real,5.699999999999999
71,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,9.4,-3.4,9.3,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Do not know,Correct,Correct,Correct,Incorrect,Incorrect,-2.2,Male,,40.0,Bachelor's degree in college (4-year),Republican,,Moderate,Real,9.7
72,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,3.1,9.3,Yes,Correct,Incorrect,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,-1.7,Male,,73.0,Graduate or professional degree,Democrat,,Very liberal,Real,1.0
73,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,9.1,3.8,9.5,Yes,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,4.2,Male,,37.0,Associate degree in college (2-year),Democrat,,Very liberal,Real,9.55
74,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,5.8,5.4,3.5,9.5,Yes,Correct,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Correct,Correct,Correct,Correct,0.0,Male,,28.0,Some college but no degree,No party/not interested in politics,,Not sure/not interested in politics,Real,5.6
75,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.3,9.2,3.5,9.6,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Incorrect,Correct,Correct,Do not know,Incorrect,0.0,Female,,20.0,Some college but no degree,Independent,,Somewhat liberal,Real,9.25
76,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.7,8.8,4.0,9.8,Yes,Correct,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,Correct,Correct,Do not know,-2.6,Female,,64.0,Bachelor's degree in college (4-year),Democrat,,Somewhat liberal,Real,8.75
77,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.8,8.8,5.0,9.9,Yes,Do not know,Do not know,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,Do not know,0.4,Female,,21.0,Some college but no degree,No party/not interested in politics,,Not sure/not interested in politics,Real,9.3
78,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,1.3,10.0,Yes,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Do not know,Correct,Incorrect,Incorrect,-0.9,Male,,27.0,Some college but no degree,Republican,,Somewhat conservative,Real,10.0
79,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,7.1,5.5,0.0,10.0,Yes,Incorrect,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,Do not know,Do not know,0.0,Female,,66.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Not sure/not interested in politics,Real,6.3
80,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.1,9.2,2.1,10.1,Yes,Correct,Incorrect,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Incorrect,-1.8,Male,,39.0,Associate degree in college (2-year),Democrat,,Somewhat liberal,Real,9.149999999999999
81,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,9.1,9.1,1.1,10.1,Yes,Correct,Correct,Correct,Correct,Do not know,Correct,Do not know,Correct,Correct,Correct,Incorrect,2.3,Female,,49.0,Bachelor's degree in college (4-year),Independent,,Moderate,Real,9.1
82,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.4,8.3,4.3,10.4,Yes,Correct,Incorrect,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,3.3,Male,,52.0,Some college but no degree,Republican,,Not sure/not interested in politics,Real,8.850000000000001
83,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.8,9.0,5.0,10.4,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.2,Male,,34.0,Bachelor's degree in college (4-year),Democrat,,Somewhat liberal,Real,8.9
84,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.7,10.0,4.9,10.5,Yes,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,3.8,Female,,30.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Real,9.85
85,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,7.9,7.6,3.1,10.6,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Incorrect,2.4,Male,,39.0,Bachelor's degree in college (4-year),Independent,,Moderate,Real,7.75
86,,Enhanced Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.9,6.4,0.4,10.8,Yes,Correct,Incorrect,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Correct,0.0,Male,,48.0,Associate degree in college (2-year),Republican,,Moderate,Real,6.65
87,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.4,6.0,5.0,11.0,Yes,Correct,Do not know,Correct,Correct,Correct,Correct,Do not know,Correct,Do not know,Do not know,Incorrect,1.6,Male,,40.0,High school graduate (high school diploma or equivalent including GED),Republican,,Moderate,Real,6.2
88,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.1,9.3,4.6,11.0,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Do not know,Do not know,2.8,Female,,38.0,Less than high school degree,Independent,,Somewhat liberal,Real,9.2
89,,Control,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,6.4,5.6,5.0,11.0,Yes,Do not know,Correct,Do not know,Correct,Do not know,Do not know,Do not know,Correct,Correct,Correct,Correct,-3.2,Female,,22.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Moderate,Real,6.0
90,,Guidelines,NASA,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.3,8.4,5.0,11.0,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,0.0,Male,,29.0,High school graduate (high school diploma or equivalent including GED),Other,Reasonist,Very liberal,Real,8.350000000000001
